Match Timestamp,Player Index,Battle ID,Kills,Deaths,Assists,Gold,Rating,Hero Damage,Consecutive Kills,Teamfight,Crowd Control,Healing/Shields,Damage Taken,Overall Hero Dmg,Turret Damage,Overall Dmg Taken,Overall Teamfight,Total Gold,Jungle Gold,Kill Gold,Minion Gold
2:15:55 AM,1,162905723312573351,9,1,11,8097,12.0,39126,7,59%,11286,0,67110,39126,4882,67110,59%,8097,207,2213,2518
2:15:55 AM,2,162905723312573351,4,1,7,7641,8.3,21663,2,32%,0,0,36230,21663,12659,36230,32%,7641,2048,1095,1353
2:15:55 AM,3,162905723312573351,11,3,5,7502,9.0,36052,6,47%,2376,0,18272,36052,5787,18272,47%,7502,49,2063,2020
2:15:55 AM,4,162905723312573351,3,2,20,6361,9.9,13844,2,68%,2178,44156,9003,13844,225,9003,68%,6361,27,1909,502
2:15:55 AM,5,162905723312573351,7,1,15,8334,11.8,43775,6,65%,11616,0,44043,43775,4149,44043,65%,8334,0,2199,2810
2:15:55 AM,6,162905723312573351,2,10,4,4942,4.5,2,34997,59862,0,9438,75%,75%,59862,0,34997,914,1080,170,4942
2:15:55 AM,7,162905723312573351,0,9,1,4648,3.0,1,13359,65831,0,3498,13%,13%,65831,1773,13359,1176,400,35,4648
2:15:55 AM,8,162905723312573351,3,2,1,5477,5.5,1,33586,14756,0,462,50%,50%,14756,3089,33586,2194,455,0,5477
2:15:55 AM,9,162905723312573351,5,5,1,4949,4.6,1,18897,29463,0,0,75%,75%,29463,0,18897,889,705,628,4949
2:15:55 AM,10,162905723312573351,4,8,1,4795,4.1,1,24863,35726,0,8118,63%,63%,35726,4480,24863,1266,492,0,4795